#{"t_start": 1789805690.1339798, "env_id": "MicroDuck-v1"}
r,l,t
19.294486,32,27.803586
28.986373,16,27.818546
26.902895,25,27.848689
23.592943,13,27.863748
17.876332,9,27.873722
20.524085,26,27.90629
38.075645,26,27.932221
29.771474,16,27.94718
54.28278,40,27.985079
25.141085,13,27.997047
24.283927,17,28.013376
32.310996,27,28.039193
25.525458,16,28.055364
75.829191,58,28.129668
28.841035,19,28.149617
1.362749,14,28.164575
57.687655,54,28.224092
34.320603,26,28.257164
23.84083,29,28.301861
32.487092,31,28.368153
34.378535,29,28.405024
18.7598,10,28.416949
58.250459,36,28.452765
12.314088,17,28.468722
33.295972,20,28.487672
23.223302,26,28.511607
10.827454,14,28.523575
39.280195,26,28.548509
18.084264,17,28.563468
18.767606,23,28.58544
48.957424,32,28.619321
19.594905,12,28.631001
39.081367,31,28.659924
41.444411,32,28.694387
20.137721,13,28.708351
19.659477,17,28.725307
31.816919,16,28.741264
26.146702,21,28.762207
26.059107,20,28.781156
9.297108,43,28.820053
34.460597,26,28.850968
54.351685,34,28.888867
20.117564,16,28.906484
65.602832,29,28.936091
29.111095,20,28.957039
39.456699,24,28.983968
49.048694,35,29.024856
20.356017,22,29.047796
40.653966,27,29.076718
51.064522,36,29.113619
23.796163,12,29.124591
15.513977,8,29.13257
8.083688,11,29.143539
24.476102,13,29.155507
21.533461,16,29.170467
30.406199,34,29.203379
30.016661,16,29.21834
23.499095,20,29.240281
40.719127,38,29.279177
28.319539,56,29.340015
46.10842,52,29.391544
20.195652,21,29.412486
15.262686,20,29.436424
50.08479,40,29.504793
37.076826,26,29.539701
18.245091,22,29.564633
24.778684,22,29.585577
14.426995,19,29.603529
25.628974,15,29.618489
22.313009,17,29.637438
25.814371,20,29.658383
16.900801,22,29.678329
18.724851,23,29.700271
28.553073,28,29.726201
37.01603,26,29.752132
22.755317,22,29.773077
37.401996,25,29.797011
23.545319,19,29.813967
20.197916,31,29.844883
34.981903,24,29.867438
35.417635,22,29.88838
42.734143,25,31.217589
22.47903,44,31.283827
16.933638,20,31.307763
50.922832,32,31.359574
22.294082,46,31.414626
21.331853,16,31.429587
61.115273,38,31.466487
13.644286,8,31.477435
16.396215,8,31.485448
14.762661,21,31.50739
27.450983,25,31.530328
11.462098,13,31.543293
30.18206,21,31.56324
33.089314,30,31.594531
6.090984,14,31.607519
21.501099,13,31.619488
22.955283,12,31.630486
12.838081,18,31.649462
27.950074,19,31.666417
24.749266,16,31.68135
59.007798,38,31.716257
43.069261,27,31.740683
38.121203,28,31.768313
15.233138,8,31.775295
67.316,36,31.811199
39.910605,24,31.832144
41.593458,30,31.86207
22.522825,13,31.875062
30.304511,19,31.893018
58.897851,41,31.931943
18.933294,15,31.945761
15.335184,13,31.957757
99.875172,53,32.012583
35.59699,30,32.041824
39.275183,32,32.073463
22.020995,23,32.094873
13.477958,32,32.123779
16.047928,17,32.139096
22.072703,13,32.151061
28.95375,26,32.175303
37.73046,34,32.206109
31.7055,24,32.229016
32.222912,23,32.251929
22.289614,16,32.269396
40.652788,31,32.305723
35.142403,23,32.327665
24.568239,38,32.362599
28.85764,28,32.387118
24.050189,12,32.3987
33.531393,24,32.425428
13.098506,6,32.432409
4.29721,34,32.46413
25.675114,24,32.489169
30.086025,28,32.517732
26.563984,22,32.537622
20.536963,12,32.548618
78.548441,56,32.599943
25.152676,19,32.616915
45.097468,38,32.652013
39.101217,28,32.67802
26.679322,24,32.698965
54.323985,42,32.741382
11.825898,41,32.780065
21.57543,20,32.799014
9.807746,21,32.816907
26.284633,19,32.838847
55.489507,28,32.866779
16.070026,10,32.876296
35.488927,30,32.905685
41.204121,30,32.932614
39.163744,39,32.96825
26.746342,22,32.989195
42.625606,24,33.011136
26.953202,42,33.048064
15.642335,11,33.059008
41.776467,34,33.092424
21.300925,11,33.103395
33.468885,18,33.119353
36.640394,28,33.144288
18.905313,29,33.171236
84.446297,41,33.209683
34.371228,30,34.576623
30.445641,20,34.598564
8.816546,22,34.620505
17.942322,12,34.636463
45.549124,42,34.684336
30.799093,19,34.704281
18.887911,10,34.715252
25.713863,16,34.733205
35.477616,27,34.760132
30.958647,21,34.779082
18.075674,17,34.79803
20.486614,22,34.823962
21.622847,12,34.835929
31.305798,24,34.858868
32.329081,26,34.8886
39.586158,36,34.924509
25.805302,27,34.948472
28.880433,21,34.966424
73.486085,67,35.027866
23.973234,20,35.046815
49.882389,31,35.080725
36.609086,43,35.121616
17.3932,18,35.137573
30.380771,25,35.160511
95.184484,53,35.211727
51.883533,34,35.244638
53.250537,46,35.289518
22.87181,15,35.304478
24.045934,13,35.323428
24.778998,15,35.343374
31.388939,21,35.36734
21.425903,12,35.380921
25.635003,22,35.401865
29.371559,24,35.424803
40.423495,25,35.447742
46.386592,39,35.486638
34.281759,30,35.516177
19.245412,29,35.544626
57.245143,51,35.600475
27.768689,17,35.618427
29.335421,26,35.642364
17.097561,19,35.662311
43.333616,48,35.718818
10.831901,6,35.724802
27.277381,18,35.742752
44.29782,28,35.76968
94.670007,41,35.807578
36.527046,22,35.828522
26.044132,31,35.858443
16.523644,14,35.873404
20.716157,12,35.884373
26.97612,13,35.896346
23.477175,14,35.909936
76.67014,79,35.98576
31.421372,16,36.00072
53.073433,37,36.03463
27.349491,22,36.055574
54.34106,32,36.090453
16.612518,14,36.103448
18.567372,26,36.12835
25.705211,21,36.228828
26.836564,15,36.242791
50.17525,31,36.276699
19.455735,12,36.290661
12.057821,18,36.310608
19.744452,21,36.330555
23.79478,24,36.35466
46.303762,35,36.395254
35.359871,21,36.420188
41.914986,37,36.462075
12.652692,28,36.506955
40.419877,26,36.540168
23.851202,24,36.565102
36.608036,41,36.606026
23.327176,16,36.621951
43.358178,26,36.650902
27.498197,23,36.674811
22.71537,19,36.696749
-9.90517,45,36.739636
11.014456,54,38.131176
77.123339,43,38.182463
17.959834,21,38.21026
17.064939,19,38.235252
43.023981,23,38.270325
8.377158,50,38.328624
20.714167,46,38.375637
45.969812,23,38.406626
23.996609,20,38.431992
20.39922,18,38.452992
37.363766,24,38.483418
34.339061,28,38.515907
40.416183,23,38.542095
36.423607,25,38.56754
24.367733,12,38.580088
26.558972,18,38.596783
32.449656,19,38.617296
36.385354,18,38.638549
15.560535,21,38.659862
48.863898,31,38.690324
29.279718,19,38.709305
24.83252,21,38.730828
20.139604,21,38.75117
3.874738,14,38.768804
25.491428,20,38.789826
28.240855,21,38.810894
28.076533,26,38.839335
21.211547,18,38.856885
23.345749,13,38.871487
32.1006,21,38.891176
23.420971,27,38.917631
23.06207,17,38.933684
31.259509,19,38.952563
41.439144,59,39.017811
4.864316,13,39.030841
54.611347,35,39.064573
29.223392,18,39.086273
20.661395,18,39.104372
19.738645,12,39.115865
29.839943,30,39.143664
42.473503,28,39.171136
57.11628,47,39.219776
39.621079,28,39.249923
14.889385,34,39.284736
35.985298,25,39.311665
23.503027,25,39.350534
21.996918,22,39.3837
28.751634,27,39.413322
29.947912,29,39.441389
21.371605,12,39.451878
35.303128,21,39.471486
35.377492,27,39.498723
17.081798,13,39.511688
42.235397,48,39.561574
27.29843,23,39.586704
17.244009,17,39.60298
31.964688,25,39.629295
16.663033,16,39.651387
20.777371,29,39.682012
8.781033,17,39.700443
23.463506,13,39.712964
18.67372,11,39.724901
19.024434,18,39.74384
37.499453,33,39.775589
79.339996,42,39.8223
29.390526,18,39.844946
32.780326,38,39.903185
93.23388,56,39.960172
18.815253,17,39.975241
15.097295,26,39.999578
26.495021,24,40.026301
22.320792,27,40.052305
34.185856,23,40.077931
34.030238,26,40.103204
35.815093,28,40.13271
18.162498,12,40.144677
26.385126,26,40.168636
123.063462,61,40.22881
21.4521,11,40.239758
62.799278,43,40.279789
36.953829,25,41.579976
22.920045,32,41.619483
11.969093,18,41.644972
18.472093,10,41.658462
115.984112,108,41.77393
15.97869,15,41.78845
71.818333,43,41.829007
43.952549,25,41.85323
54.061093,68,41.920605
25.981216,15,41.935565
60.197735,53,41.984434
34.093896,35,42.017346
47.488561,51,42.066216
14.09193,22,42.088576
25.253636,25,42.113535
44.301925,28,42.142454
28.153887,21,42.162379
25.769769,26,42.186315
19.917647,18,42.203271
58.452642,31,42.236181
20.519575,14,42.250144
23.380536,13,42.262111
30.438702,20,42.281061
21.833766,19,42.301007
11.870336,14,42.315967
55.696464,41,42.357855
21.762275,19,42.378578
17.061915,11,42.391544
7.720999,15,42.408497
26.876241,17,42.427448
40.649457,30,42.458363
22.399831,33,42.496262
34.753612,37,42.533163
68.644279,69,42.605814
15.822221,32,42.644368
29.683976,35,42.679271
33.121397,26,42.70623
16.897874,19,42.725148
45.099287,37,42.761052
5.334344,22,42.781997
30.681586,20,42.801943
25.611986,21,42.821918
8.874782,17,42.839843
32.39791,33,42.870146
34.444534,23,42.893084
35.946686,27,42.921089
33.060162,23,42.94303
21.422854,27,42.968961
48.413062,33,42.998882
17.204128,11,43.009852
31.168566,22,43.030823
13.025592,41,43.083654
67.525307,40,43.129533
25.288509,17,43.146487
20.530872,20,43.165436
37.461692,27,43.197456
17.500532,10,43.206431
99.778724,47,43.256298
20.640717,11,43.267268
22.92705,25,43.292201
34.893813,31,43.322128
39.885301,29,43.348059
17.638979,17,43.366011
32.873547,24,43.388709
33.798474,31,43.419626
11.975753,40,43.457526
31.737235,28,43.482459
20.284634,12,43.493457
37.896603,37,43.527366
17.546332,14,43.540331
28.028849,24,43.562779
15.703627,15,43.579707
34.800288,29,43.605664
36.355543,23,43.627686
24.500344,16,44.741727
30.903835,29,44.772646
16.102092,27,44.80057
13.013612,20,44.822512
27.616885,18,44.841461
31.28918,26,44.867036
53.882834,34,44.901941
23.175991,20,44.921573
19.096809,10,44.932543
27.210404,21,44.953488
23.280748,14,44.96745
13.599119,15,44.981413
95.147055,42,45.021537
47.818143,30,45.051458
23.653965,13,45.063453
40.032588,23,45.084369
10.818657,13,45.097362
26.97754,15,45.111329
31.34057,42,45.157202
27.014156,26,45.180141
18.560635,12,45.191111
29.454125,24,45.213089
16.117973,15,45.227048
37.932058,32,45.255975
17.358058,37,45.289879
19.203369,9,45.298827
49.682408,39,45.332764
25.753924,13,45.344734
25.181337,13,45.35767
55.889951,36,45.391207
62.07623,33,45.421126
24.199614,21,45.441073
32.860145,17,45.457033
23.761045,23,45.478945
30.798489,23,45.499916
49.910457,36,45.53183
28.561161,23,45.554741
72.971048,34,45.585659
28.540435,22,45.605605
56.538057,41,45.642535
15.18994,9,45.651513
16.973821,31,45.680435
34.106725,23,45.704341
43.448024,39,45.739249
48.410931,31,45.768198
37.396045,39,45.802107
54.481576,42,45.842
26.877265,19,45.859954
18.421031,9,45.868932
25.065333,13,45.881871
32.191255,16,45.897493
78.036046,41,45.936013
26.494172,14,45.94973
68.884788,49,45.9976
21.906586,17,46.013558
24.501135,21,46.03248
27.222356,28,46.059205
22.241927,14,46.074167
12.904494,14,46.089126
42.460682,34,46.119045
8.102675,42,46.163925
26.861513,17,46.179883
29.912928,26,46.205813
23.033937,19,46.226888
26.799093,13,46.238854
48.919761,31,46.274786
30.466229,37,46.314651
57.283558,31,46.347921
40.087558,46,46.394862
12.457087,16,46.410818
25.876562,42,46.450741
36.312815,68,46.529503
46.403193,36,46.5751
49.539242,32,46.615206
21.977552,11,46.626176
46.804106,30,46.654101
18.328574,14,46.671055
28.245369,15,46.691031
18.887081,18,46.71394
68.525829,34,46.758968
13.232532,27,48.120877
29.802797,16,48.135838
39.320701,26,48.161767
5.781586,22,48.182863
24.839202,21,48.202809
22.280598,12,48.215775
25.844567,15,48.232408
15.215199,8,48.241385
27.224025,20,48.263912
64.408423,49,48.323355
23.676104,16,48.34031
43.925337,38,48.378299
63.469942,31,48.40781
32.591548,23,48.430775
17.04374,10,48.440616
45.715715,35,48.509105
36.869635,25,48.54401
50.5775,29,48.577786
21.486438,18,48.598173
16.737563,15,48.61413
42.719524,26,48.63798
26.681212,17,48.656439
36.326025,36,48.690935
20.250578,18,48.707907
21.433804,19,48.726246
26.956952,14,48.740179
24.383942,12,48.752209
45.700541,37,48.786928
30.03023,19,48.80391
40.451259,29,48.831914
56.179664,39,48.873492
65.205611,40,48.914893
10.792615,12,48.928886
36.142288,34,48.961668
25.999143,15,48.975661
51.993041,39,49.011705
40.720153,28,49.037966
41.832358,30,49.067171
27.1357,21,49.086589
25.929361,23,49.107744
23.093854,13,49.119685
29.759973,18,49.136589
30.946431,18,49.153543
21.005602,18,49.173753
33.798746,27,49.198479
28.939695,16,49.213439
33.246385,26,49.23745
26.388927,17,49.253407
15.974141,8,49.261384
33.094678,18,49.277531
24.617628,22,49.299444
